====Running MPQLAM experiment with seed 0 on instance with IP = ec2-13-57-184-46.us-west-1.compute.amazonaws.com ==== 
====Running MPQLAM experiment with seed 0 on instance with IP = ec2-13-57-184-46.us-west-1.compute.amazonaws.com ==== 
====Running MPQLAM experiment with seed 0 on instance with IP = ec2-13-57-184-46.us-west-1.compute.amazonaws.com ==== 
----------------------------------------
Test Episodes: 30, Avg. Reward: -1001.46 Avg. Success: 0.0 Std. Reward: 0.0
----------------------------------------
Episode: 85, total numsteps: 8600, episode steps: 100, reward: -996.43
Episode: 86, total numsteps: 8700, episode steps: 100, reward: -933.75
Episode: 87, total numsteps: 8800, episode steps: 100, reward: -965.24
Episode: 88, total numsteps: 8900, episode steps: 100, reward: -970.7
Episode: 89, total numsteps: 9000, episode steps: 100, reward: -827.59
Episode: 90, total numsteps: 9100, episode steps: 100, reward: -958.68
Episode: 91, total numsteps: 9200, episode steps: 100, reward: -947.9
Episode: 92, total numsteps: 9300, episode steps: 100, reward: -1003.01
Episode: 93, total numsteps: 9400, episode steps: 100, reward: -969.96
Episode: 94, total numsteps: 9500, episode steps: 100, reward: -930.24
Episode: 95, total numsteps: 9600, episode steps: 100, reward: -862.62
Episode: 96, total numsteps: 9700, episode steps: 100, reward: -955.07
Episode: 97, total numsteps: 9800, episode steps: 100, reward: -1023.2
Episode: 98, total numsteps: 9900, episode steps: 100, reward: -866.4
Episode: 99, total numsteps: 10000, episode steps: 100, reward: -1020.69
Episode: 100, total numsteps: 10100, episode steps: 100, reward: -648.23
Episode: 101, total numsteps: 10200, episode steps: 100, reward: -672.87
Episode: 102, total numsteps: 10300, episode steps: 100, reward: -721.94
Episode: 103, total numsteps: 10400, episode steps: 100, reward: -430.0
Episode: 104, total numsteps: 10500, episode steps: 100, reward: -764.1
Episode: 105, total numsteps: 10600, episode steps: 100, reward: -681.8
Episode: 106, total numsteps: 10700, episode steps: 100, reward: -682.44
Episode: 107, total numsteps: 10800, episode steps: 100, reward: -648.27
Episode: 108, total numsteps: 10900, episode steps: 100, reward: -698.29
Episode: 109, total numsteps: 11000, episode steps: 100, reward: -666.22
Episode: 110, total numsteps: 11100, episode steps: 100, reward: -717.47
Episode: 111, total numsteps: 11200, episode steps: 100, reward: -470.01
Episode: 112, total numsteps: 11300, episode steps: 100, reward: -349.79
Episode: 113, total numsteps: 11400, episode steps: 100, reward: -582.45
Episode: 114, total numsteps: 11500, episode steps: 100, reward: -634.52
Episode: 115, total numsteps: 11600, episode steps: 100, reward: -529.64
Episode: 116, total numsteps: 11700, episode steps: 100, reward: -679.62
Episode: 117, total numsteps: 11800, episode steps: 100, reward: -706.1
Episode: 118, total numsteps: 11900, episode steps: 100, reward: -328.75
Episode: 119, total numsteps: 12000, episode steps: 100, reward: -707.71
----------------------------------------
Test Episodes: 30, Avg. Reward: -635.63 Avg. Success: 0.0 Std. Reward: 0.0
----------------------------------------
Episode: 120, total numsteps: 12100, episode steps: 100, reward: -539.13
Episode: 121, total numsteps: 12200, episode steps: 100, reward: -662.46
Episode: 122, total numsteps: 12300, episode steps: 100, reward: -690.62
Episode: 123, total numsteps: 12400, episode steps: 100, reward: -665.36
Episode: 124, total numsteps: 12500, episode steps: 100, reward: -657.16
Episode: 125, total numsteps: 12600, episode steps: 100, reward: -649.51
Episode: 126, total numsteps: 12700, episode steps: 100, reward: -641.84
Episode: 127, total numsteps: 12800, episode steps: 100, reward: -654.0
Episode: 128, total numsteps: 12900, episode steps: 100, reward: -666.59
Episode: 129, total numsteps: 13000, episode steps: 100, reward: -660.87
Episode: 130, total numsteps: 13100, episode steps: 100, reward: -653.76
Episode: 131, total numsteps: 13200, episode steps: 100, reward: -598.41
Episode: 132, total numsteps: 13300, episode steps: 100, reward: -647.24
Episode: 133, total numsteps: 13400, episode steps: 100, reward: -652.25
Episode: 134, total numsteps: 13500, episode steps: 100, reward: -667.38
Episode: 135, total numsteps: 13600, episode steps: 100, reward: -667.06
Episode: 136, total numsteps: 13700, episode steps: 100, reward: -30.92
Episode: 137, total numsteps: 13800, episode steps: 100, reward: -676.55
Episode: 138, total numsteps: 13900, episode steps: 100, reward: -681.55
Episode: 139, total numsteps: 14000, episode steps: 100, reward: -666.22
Episode: 140, total numsteps: 14100, episode steps: 100, reward: -691.48
Episode: 141, total numsteps: 14200, episode steps: 100, reward: -610.63
Episode: 142, total numsteps: 14300, episode steps: 100, reward: -643.5
Episode: 143, total numsteps: 14400, episode steps: 100, reward: -672.85
Episode: 144, total numsteps: 14500, episode steps: 100, reward: -617.26
Episode: 145, total numsteps: 14600, episode steps: 100, reward: -548.7
Episode: 146, total numsteps: 14700, episode steps: 100, reward: -669.57
Episode: 147, total numsteps: 14800, episode steps: 100, reward: -566.23
