====Running SAC experiment with seed 123 on instance with IP = ec2-54-215-234-170.us-west-1.compute.amazonaws.com ==== 
----------------------------------------
Episode: 89, total numsteps: 9000, episode steps: 100, reward: -999.7
Episode: 90, total numsteps: 9100, episode steps: 100, reward: -952.59
Episode: 91, total numsteps: 9200, episode steps: 100, reward: -961.92
Episode: 92, total numsteps: 9300, episode steps: 100, reward: -957.79
Episode: 93, total numsteps: 9400, episode steps: 100, reward: -957.49
Episode: 94, total numsteps: 9500, episode steps: 100, reward: -921.71
Episode: 95, total numsteps: 9600, episode steps: 100, reward: -857.97
Episode: 96, total numsteps: 9700, episode steps: 100, reward: -989.39
Episode: 97, total numsteps: 9800, episode steps: 100, reward: -867.28
Episode: 98, total numsteps: 9900, episode steps: 100, reward: -973.52
Episode: 99, total numsteps: 10000, episode steps: 100, reward: -954.15
Episode: 100, total numsteps: 10100, episode steps: 100, reward: -383.24
Episode: 101, total numsteps: 10200, episode steps: 100, reward: -668.03
Episode: 102, total numsteps: 10300, episode steps: 100, reward: -461.91
Episode: 103, total numsteps: 10400, episode steps: 100, reward: -627.28
Episode: 104, total numsteps: 10500, episode steps: 100, reward: -700.82
Episode: 105, total numsteps: 10600, episode steps: 100, reward: -693.68
Episode: 106, total numsteps: 10700, episode steps: 100, reward: -640.83
Episode: 107, total numsteps: 10800, episode steps: 100, reward: -697.27
Episode: 108, total numsteps: 10900, episode steps: 100, reward: -698.92
